_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
177,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",5,"",25
178,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",,:,7
179,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",1,"",21
180,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",2,"",83
181,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",3,"",56
182,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",4,"",29
183,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",5,"",11
184,201801,S92000003,S08000017,Type 1,65-74,"",Female,"",,:,2
185,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",1,"",25
186,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",2,"",80
187,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",3,"",77
188,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",4,"",32
189,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",5,"",12
190,201801,S92000003,S08000017,Type 1,65-74,"",Male,"",,:,1
191,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",1,"",32
192,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",2,"",114
193,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",3,"",119
194,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",4,"",36
195,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",5,"",26
196,201801,S92000003,S08000017,Type 1,75 plus,"",Female,"",,:,6
197,201801,S92000003,S08000017,Type 1,75 plus,"",Male,"",1,"",22
198,201801,S92000003,S08000017,Type 1,75 plus,"",Male,"",2,"",84
199,201801,S92000003,S08000017,Type 1,75 plus,"",Male,"",3,"",96
200,201801,S92000003,S08000017,Type 1,75 plus,"",Male,"",4,"",43
201,201801,S92000003,S08000017,Type 1,75 plus,"",Male,"",5,"",19
202,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",1,"",56
203,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",2,"",122
204,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",3,"",103
205,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",4,"",48
206,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",5,"",33
207,201801,S92000003,S08000017,Type 1,Under 18,"",Female,"",,:,2
208,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",1,"",63
209,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",2,"",135
210,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",3,"",96
211,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",4,"",56
212,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",5,"",36
213,201801,S92000003,S08000017,Type 1,Under 18,"",Male,"",,:,3
214,201801,S92000003,S08000017,Type 1,"",:,"",:,,:,22
215,201801,S92000003,S08000017,Type 3,25-39,"",Male,"",2,"",1
216,201801,S92000003,S08000017,Type 3,40-64,"",Male,"",3,"",3
217,201801,S92000003,S08000017,Type 3,65-74,"",Female,"",3,"",2
218,201801,S92000003,S08000017,Type 3,65-74,"",Male,"",3,"",1
219,201801,S92000003,S08000017,Type 3,75 plus,"",Male,"",2,"",1
220,201801,S92000003,S08000019,Type 1,18-24,"",Female,"",1,"",58
221,201801,S92000003,S08000019,Type 1,18-24,"",Female,"",2,"",61
222,201801,S92000003,S08000019,Type 1,18-24,"",Female,"",3,"",44
223,201801,S92000003,S08000019,Type 1,18-24,"",Female,"",4,"",35
224,201801,S92000003,S08000019,Type 1,18-24,"",Female,"",5,"",31
225,201801,S92000003,S08000019,Type 1,18-24,"",Male,"",1,"",38
226,201801,S92000003,S08000019,Type 1,18-24,"",Male,"",2,"",45
227,201801,S92000003,S08000019,Type 1,18-24,"",Male,"",3,"",33
228,201801,S92000003,S08000019,Type 1,18-24,"",Male,"",4,"",27
229,201801,S92000003,S08000019,Type 1,18-24,"",Male,"",5,"",28
230,201801,S92000003,S08000019,Type 1,25-39,"",Female,"",1,"",104
231,201801,S92000003,S08000019,Type 1,25-39,"",Female,"",2,"",130
232,201801,S92000003,S08000019,Type 1,25-39,"",Female,"",3,"",70
233,201801,S92000003,S08000019,Type 1,25-39,"",Female,"",4,"",48
234,201801,S92000003,S08000019,Type 1,25-39,"",Female,"",5,"",39
235,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",1,"",139
236,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",2,"",147
237,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",3,"",84
238,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",4,"",58
239,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",5,"",39
