_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
77659,202212,S92000003,S08000022,Type 1,Under 18,"",Female,"",4,"",150
77660,202212,S92000003,S08000022,Type 1,Under 18,"",Female,"",5,"",47
77661,202212,S92000003,S08000022,Type 1,Under 18,"",Female,"",,:,28
77662,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",1,"",66
77663,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",2,"",117
77664,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",3,"",149
77665,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",4,"",179
77666,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",5,"",64
77667,202212,S92000003,S08000022,Type 1,Under 18,"",Male,"",,:,23
77668,202212,S92000003,S08000022,Type 1,"",:,"",:,,:,271
77669,202212,S92000003,S08000022,Type 3,18-24,"",Female,"",1,"",2
77670,202212,S92000003,S08000022,Type 3,18-24,"",Female,"",2,"",8
77671,202212,S92000003,S08000022,Type 3,18-24,"",Female,"",3,"",4
77672,202212,S92000003,S08000022,Type 3,18-24,"",Female,"",5,"",1
77673,202212,S92000003,S08000022,Type 3,18-24,"",Male,"",1,"",3
77674,202212,S92000003,S08000022,Type 3,18-24,"",Male,"",2,"",2
77675,202212,S92000003,S08000022,Type 3,18-24,"",Male,"",3,"",7
77676,202212,S92000003,S08000022,Type 3,18-24,"",Male,"",5,"",1
77677,202212,S92000003,S08000022,Type 3,25-39,"",Female,"",1,"",5
77678,202212,S92000003,S08000022,Type 3,25-39,"",Female,"",2,"",7
77679,202212,S92000003,S08000022,Type 3,25-39,"",Female,"",3,"",11
77680,202212,S92000003,S08000022,Type 3,25-39,"",Female,"",4,"",4
77681,202212,S92000003,S08000022,Type 3,25-39,"",Male,"",1,"",4
77682,202212,S92000003,S08000022,Type 3,25-39,"",Male,"",2,"",12
77683,202212,S92000003,S08000022,Type 3,25-39,"",Male,"",3,"",13
77684,202212,S92000003,S08000022,Type 3,25-39,"",Male,"",4,"",1
77685,202212,S92000003,S08000022,Type 3,40-64,"",Female,"",1,"",12
77686,202212,S92000003,S08000022,Type 3,40-64,"",Female,"",2,"",10
77687,202212,S92000003,S08000022,Type 3,40-64,"",Female,"",3,"",15
77688,202212,S92000003,S08000022,Type 3,40-64,"",Female,"",4,"",3
77689,202212,S92000003,S08000022,Type 3,40-64,"",Female,"",5,"",1
77690,202212,S92000003,S08000022,Type 3,40-64,"",Male,"",1,"",9
77691,202212,S92000003,S08000022,Type 3,40-64,"",Male,"",2,"",13
77692,202212,S92000003,S08000022,Type 3,40-64,"",Male,"",3,"",39
77693,202212,S92000003,S08000022,Type 3,40-64,"",Male,"",4,"",5
77694,202212,S92000003,S08000022,Type 3,65-74,"",Female,"",1,"",4
77695,202212,S92000003,S08000022,Type 3,65-74,"",Female,"",2,"",2
77696,202212,S92000003,S08000022,Type 3,65-74,"",Female,"",3,"",7
77697,202212,S92000003,S08000022,Type 3,65-74,"",Female,"",4,"",3
77698,202212,S92000003,S08000022,Type 3,65-74,"",Male,"",2,"",5
77699,202212,S92000003,S08000022,Type 3,65-74,"",Male,"",3,"",11
77700,202212,S92000003,S08000022,Type 3,65-74,"",Male,"",4,"",1
77701,202212,S92000003,S08000022,Type 3,75 plus,"",Female,"",1,"",4
77702,202212,S92000003,S08000022,Type 3,75 plus,"",Female,"",2,"",11
77703,202212,S92000003,S08000022,Type 3,75 plus,"",Female,"",3,"",13
77704,202212,S92000003,S08000022,Type 3,75 plus,"",Female,"",4,"",2
77705,202212,S92000003,S08000022,Type 3,75 plus,"",Male,"",1,"",6
77706,202212,S92000003,S08000022,Type 3,75 plus,"",Male,"",2,"",5
77707,202212,S92000003,S08000022,Type 3,75 plus,"",Male,"",3,"",28
77708,202212,S92000003,S08000022,Type 3,75 plus,"",Male,"",4,"",2
77709,202212,S92000003,S08000022,Type 3,Under 18,"",Female,"",1,"",7
77710,202212,S92000003,S08000022,Type 3,Under 18,"",Female,"",2,"",9
77711,202212,S92000003,S08000022,Type 3,Under 18,"",Female,"",3,"",18
77712,202212,S92000003,S08000022,Type 3,Under 18,"",Female,"",4,"",2
77713,202212,S92000003,S08000022,Type 3,Under 18,"",Male,"",1,"",4
77714,202212,S92000003,S08000022,Type 3,Under 18,"",Male,"",2,"",6
77715,202212,S92000003,S08000022,Type 3,Under 18,"",Male,"",3,"",26
77716,202212,S92000003,S08000022,Type 3,Under 18,"",Male,"",4,"",5
77717,202212,S92000003,S08000022,Type 3,"",:,"",:,,:,14
77718,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",1,"",173
77719,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",2,"",169
77720,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",3,"",136
77721,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",4,"",114
77722,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",5,"",170
77723,202212,S92000003,S08000024,Type 1,18-24,"",Female,"",,:,13
77724,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",1,"",121
77725,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",2,"",167
77726,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",3,"",102
77727,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",4,"",108
77728,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",5,"",152
77729,202212,S92000003,S08000024,Type 1,18-24,"",Male,"",,:,6
77730,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",1,"",318
77731,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",2,"",441
77732,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",3,"",273
77733,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",4,"",257
77734,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",5,"",220
77735,202212,S92000003,S08000024,Type 1,25-39,"",Female,"",,:,50
77736,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",1,"",321
77737,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",2,"",420
77738,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",3,"",261
77739,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",4,"",210
77740,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",5,"",196
77741,202212,S92000003,S08000024,Type 1,25-39,"",Male,"",,:,37
77742,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",1,"",397
77743,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",2,"",567
77744,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",3,"",337
77745,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",4,"",346
77746,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",5,"",386
77747,202212,S92000003,S08000024,Type 1,40-64,"",Female,"",,:,16
77748,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",1,"",425
77749,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",2,"",589
77750,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",3,"",361
77751,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",4,"",308
77752,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",5,"",368
77753,202212,S92000003,S08000024,Type 1,40-64,"",Male,"",,:,39
77754,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",1,"",118
77755,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",2,"",219
77756,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",3,"",146
77757,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",4,"",125
77758,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",5,"",164
77759,202212,S92000003,S08000024,Type 1,65-74,"",Female,"",,:,7
77760,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",1,"",134
77761,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",2,"",185
77762,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",3,"",135
77763,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",4,"",137
77764,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",5,"",146
77765,202212,S92000003,S08000024,Type 1,65-74,"",Male,"",,:,6
77766,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",1,"",167
77767,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",2,"",323
77768,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",3,"",244
77769,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",4,"",226
77770,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",5,"",354
77771,202212,S92000003,S08000024,Type 1,75 plus,"",Female,"",,:,8
77772,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",1,"",132
77773,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",2,"",227
77774,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",3,"",178
77775,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",4,"",183
77776,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",5,"",260
77777,202212,S92000003,S08000024,Type 1,75 plus,"",Male,"",,:,4
77778,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",1,"",706
77779,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",2,"",796
77780,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",3,"",568
77781,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",4,"",531
77782,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",5,"",695
77783,202212,S92000003,S08000024,Type 1,Under 18,"",Female,"",,:,178
77784,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",1,"",817
77785,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",2,"",908
77786,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",3,"",662
77787,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",4,"",686
77788,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",5,"",819
77789,202212,S92000003,S08000024,Type 1,Under 18,"",Male,"",,:,148
77790,202212,S92000003,S08000024,Type 1,"",:,"",:,,:,810
77791,202212,S92000003,S08000024,Type 3,18-24,"",Female,"",1,"",22
77792,202212,S92000003,S08000024,Type 3,18-24,"",Female,"",2,"",23
77793,202212,S92000003,S08000024,Type 3,18-24,"",Female,"",3,"",26
77794,202212,S92000003,S08000024,Type 3,18-24,"",Female,"",4,"",18
77795,202212,S92000003,S08000024,Type 3,18-24,"",Female,"",5,"",29
77796,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",1,"",25
77797,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",2,"",11
77798,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",3,"",15
77799,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",4,"",18
77800,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",5,"",40
77801,202212,S92000003,S08000024,Type 3,18-24,"",Male,"",,:,2
77802,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",1,"",57
77803,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",2,"",57
77804,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",3,"",48
77805,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",4,"",35
77806,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",5,"",66
77807,202212,S92000003,S08000024,Type 3,25-39,"",Female,"",,:,4
77808,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",1,"",45
77809,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",2,"",73
77810,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",3,"",60
77811,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",4,"",51
77812,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",5,"",50
77813,202212,S92000003,S08000024,Type 3,25-39,"",Male,"",,:,8
77814,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",1,"",83
77815,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",2,"",121
77816,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",3,"",60
77817,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",4,"",76
77818,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",5,"",135
77819,202212,S92000003,S08000024,Type 3,40-64,"",Female,"",,:,4
77820,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",1,"",74
77821,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",2,"",110
77822,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",3,"",65
77823,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",4,"",73
77824,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",5,"",130
77825,202212,S92000003,S08000024,Type 3,40-64,"",Male,"",,:,3
77826,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",1,"",45
77827,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",2,"",45
77828,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",3,"",36
77829,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",4,"",39
77830,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",5,"",81
77831,202212,S92000003,S08000024,Type 3,65-74,"",Female,"",,:,1
77832,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",1,"",40
77833,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",2,"",62
77834,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",3,"",37
77835,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",4,"",31
77836,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",5,"",67
77837,202212,S92000003,S08000024,Type 3,65-74,"",Male,"",,:,3
77838,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",1,"",46
77839,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",2,"",63
77840,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",3,"",57
77841,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",4,"",79
77842,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",5,"",182
77843,202212,S92000003,S08000024,Type 3,75 plus,"",Female,"",,:,2
77844,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",1,"",30
77845,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",2,"",61
77846,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",3,"",62
77847,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",4,"",73
77848,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",5,"",163
77849,202212,S92000003,S08000024,Type 3,75 plus,"",Male,"",,:,1
77850,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",1,"",8
77851,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",2,"",9
77852,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",3,"",1
77853,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",4,"",3
77854,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",5,"",24
77855,202212,S92000003,S08000024,Type 3,Under 18,"",Female,"",,:,1
77856,202212,S92000003,S08000024,Type 3,Under 18,"",Male,"",1,"",8
77857,202212,S92000003,S08000024,Type 3,Under 18,"",Male,"",2,"",11
77858,202212,S92000003,S08000024,Type 3,Under 18,"",Male,"",3,"",8
77859,202212,S92000003,S08000024,Type 3,Under 18,"",Male,"",4,"",5
77860,202212,S92000003,S08000024,Type 3,Under 18,"",Male,"",5,"",17
77861,202212,S92000003,S08000024,Type 3,"",:,"",:,,:,100
77862,202212,S92000003,S08000025,Type 1,18-24,"",Female,"",2,"",3
77863,202212,S92000003,S08000025,Type 1,18-24,"",Female,"",3,"",6
77864,202212,S92000003,S08000025,Type 1,18-24,"",Female,"",4,"",8
77865,202212,S92000003,S08000025,Type 1,18-24,"",Female,"",5,"",4
77866,202212,S92000003,S08000025,Type 1,18-24,"",Male,"",2,"",2
77867,202212,S92000003,S08000025,Type 1,18-24,"",Male,"",3,"",10
77868,202212,S92000003,S08000025,Type 1,18-24,"",Male,"",4,"",11
77869,202212,S92000003,S08000025,Type 1,18-24,"",Male,"",5,"",1
77870,202212,S92000003,S08000025,Type 1,25-39,"",Female,"",2,"",6
77871,202212,S92000003,S08000025,Type 1,25-39,"",Female,"",3,"",16
77872,202212,S92000003,S08000025,Type 1,25-39,"",Female,"",4,"",13
77873,202212,S92000003,S08000025,Type 1,25-39,"",Female,"",5,"",8
77874,202212,S92000003,S08000025,Type 1,25-39,"",Male,"",2,"",12
77875,202212,S92000003,S08000025,Type 1,25-39,"",Male,"",3,"",16
77876,202212,S92000003,S08000025,Type 1,25-39,"",Male,"",4,"",29
77877,202212,S92000003,S08000025,Type 1,25-39,"",Male,"",5,"",7
77878,202212,S92000003,S08000025,Type 1,40-64,"",Female,"",1,"",1
77879,202212,S92000003,S08000025,Type 1,40-64,"",Female,"",2,"",23
77880,202212,S92000003,S08000025,Type 1,40-64,"",Female,"",3,"",16
77881,202212,S92000003,S08000025,Type 1,40-64,"",Female,"",4,"",26
77882,202212,S92000003,S08000025,Type 1,40-64,"",Female,"",5,"",7
77883,202212,S92000003,S08000025,Type 1,40-64,"",Male,"",1,"",1
77884,202212,S92000003,S08000025,Type 1,40-64,"",Male,"",2,"",15
77885,202212,S92000003,S08000025,Type 1,40-64,"",Male,"",3,"",29
77886,202212,S92000003,S08000025,Type 1,40-64,"",Male,"",4,"",37
77887,202212,S92000003,S08000025,Type 1,40-64,"",Male,"",5,"",12
77888,202212,S92000003,S08000025,Type 1,65-74,"",Female,"",1,"",1
77889,202212,S92000003,S08000025,Type 1,65-74,"",Female,"",2,"",1
77890,202212,S92000003,S08000025,Type 1,65-74,"",Female,"",3,"",9
77891,202212,S92000003,S08000025,Type 1,65-74,"",Female,"",4,"",16
77892,202212,S92000003,S08000025,Type 1,65-74,"",Female,"",5,"",4
77893,202212,S92000003,S08000025,Type 1,65-74,"",Male,"",2,"",3
77894,202212,S92000003,S08000025,Type 1,65-74,"",Male,"",3,"",12
77895,202212,S92000003,S08000025,Type 1,65-74,"",Male,"",4,"",17
77896,202212,S92000003,S08000025,Type 1,65-74,"",Male,"",5,"",1
77897,202212,S92000003,S08000025,Type 1,75 plus,"",Female,"",2,"",16
77898,202212,S92000003,S08000025,Type 1,75 plus,"",Female,"",3,"",17
77899,202212,S92000003,S08000025,Type 1,75 plus,"",Female,"",4,"",31
77900,202212,S92000003,S08000025,Type 1,75 plus,"",Female,"",5,"",3
77901,202212,S92000003,S08000025,Type 1,75 plus,"",Male,"",2,"",8
77902,202212,S92000003,S08000025,Type 1,75 plus,"",Male,"",3,"",25
77903,202212,S92000003,S08000025,Type 1,75 plus,"",Male,"",4,"",37
77904,202212,S92000003,S08000025,Type 1,75 plus,"",Male,"",5,"",2
77905,202212,S92000003,S08000025,Type 1,Under 18,"",Female,"",2,"",7
77906,202212,S92000003,S08000025,Type 1,Under 18,"",Female,"",3,"",20
77907,202212,S92000003,S08000025,Type 1,Under 18,"",Female,"",4,"",36
77908,202212,S92000003,S08000025,Type 1,Under 18,"",Female,"",5,"",7
77909,202212,S92000003,S08000025,Type 1,Under 18,"",Male,"",1,"",1
77910,202212,S92000003,S08000025,Type 1,Under 18,"",Male,"",2,"",8
77911,202212,S92000003,S08000025,Type 1,Under 18,"",Male,"",3,"",24
77912,202212,S92000003,S08000025,Type 1,Under 18,"",Male,"",4,"",46
77913,202212,S92000003,S08000025,Type 1,Under 18,"",Male,"",5,"",9
77914,202212,S92000003,S08000025,Type 1,"",:,"",:,,:,15
77915,202212,S92000003,S08000026,Type 1,18-24,"",Female,"",2,"",1
77916,202212,S92000003,S08000026,Type 1,18-24,"",Female,"",3,"",10
77917,202212,S92000003,S08000026,Type 1,18-24,"",Female,"",4,"",17
77918,202212,S92000003,S08000026,Type 1,18-24,"",Male,"",2,"",1
77919,202212,S92000003,S08000026,Type 1,18-24,"",Male,"",3,"",6
77920,202212,S92000003,S08000026,Type 1,18-24,"",Male,"",4,"",18
77921,202212,S92000003,S08000026,Type 1,18-24,"",Male,"",5,"",2
77922,202212,S92000003,S08000026,Type 1,25-39,"",Female,"",2,"",2
77923,202212,S92000003,S08000026,Type 1,25-39,"",Female,"",3,"",14
77924,202212,S92000003,S08000026,Type 1,25-39,"",Female,"",4,"",30
77925,202212,S92000003,S08000026,Type 1,25-39,"",Male,"",1,"",4
77926,202212,S92000003,S08000026,Type 1,25-39,"",Male,"",2,"",4
77927,202212,S92000003,S08000026,Type 1,25-39,"",Male,"",3,"",11
77928,202212,S92000003,S08000026,Type 1,25-39,"",Male,"",4,"",27
77929,202212,S92000003,S08000026,Type 1,25-39,"",Male,"",5,"",1
77930,202212,S92000003,S08000026,Type 1,40-64,"",Female,"",2,"",1
77931,202212,S92000003,S08000026,Type 1,40-64,"",Female,"",3,"",24
77932,202212,S92000003,S08000026,Type 1,40-64,"",Female,"",4,"",50
77933,202212,S92000003,S08000026,Type 1,40-64,"",Male,"",1,"",3
77934,202212,S92000003,S08000026,Type 1,40-64,"",Male,"",2,"",8
77935,202212,S92000003,S08000026,Type 1,40-64,"",Male,"",3,"",23
77936,202212,S92000003,S08000026,Type 1,40-64,"",Male,"",4,"",44
77937,202212,S92000003,S08000026,Type 1,40-64,"",Male,"",5,"",1
77938,202212,S92000003,S08000026,Type 1,65-74,"",Female,"",2,"",3
77939,202212,S92000003,S08000026,Type 1,65-74,"",Female,"",3,"",7
77940,202212,S92000003,S08000026,Type 1,65-74,"",Female,"",4,"",23
77941,202212,S92000003,S08000026,Type 1,65-74,"",Male,"",2,"",2
77942,202212,S92000003,S08000026,Type 1,65-74,"",Male,"",3,"",12
77943,202212,S92000003,S08000026,Type 1,65-74,"",Male,"",4,"",22
77944,202212,S92000003,S08000026,Type 1,75 plus,"",Female,"",2,"",1
77945,202212,S92000003,S08000026,Type 1,75 plus,"",Female,"",3,"",25
77946,202212,S92000003,S08000026,Type 1,75 plus,"",Female,"",4,"",32
77947,202212,S92000003,S08000026,Type 1,75 plus,"",Male,"",3,"",23
77948,202212,S92000003,S08000026,Type 1,75 plus,"",Male,"",4,"",33
77949,202212,S92000003,S08000026,Type 1,Under 18,"",Female,"",2,"",1
77950,202212,S92000003,S08000026,Type 1,Under 18,"",Female,"",3,"",22
77951,202212,S92000003,S08000026,Type 1,Under 18,"",Female,"",4,"",43
77952,202212,S92000003,S08000026,Type 1,Under 18,"",Male,"",2,"",3
77953,202212,S92000003,S08000026,Type 1,Under 18,"",Male,"",3,"",22
77954,202212,S92000003,S08000026,Type 1,Under 18,"",Male,"",4,"",73
77955,202212,S92000003,S08000026,Type 1,"",:,"",:,,:,12
77956,202212,S92000003,S08000028,Type 1,18-24,"",Female,"",2,"",9
77957,202212,S92000003,S08000028,Type 1,18-24,"",Female,"",3,"",13
77958,202212,S92000003,S08000028,Type 1,18-24,"",Female,"",4,"",3
77959,202212,S92000003,S08000028,Type 1,18-24,"",Female,"",,:,1
77960,202212,S92000003,S08000028,Type 1,18-24,"",Male,"",2,"",7
77961,202212,S92000003,S08000028,Type 1,18-24,"",Male,"",3,"",11
77962,202212,S92000003,S08000028,Type 1,18-24,"",Male,"",4,"",4
77963,202212,S92000003,S08000028,Type 1,18-24,"",Male,"",,:,1
77964,202212,S92000003,S08000028,Type 1,25-39,"",Female,"",1,"",1
77965,202212,S92000003,S08000028,Type 1,25-39,"",Female,"",2,"",7
77966,202212,S92000003,S08000028,Type 1,25-39,"",Female,"",3,"",8
77967,202212,S92000003,S08000028,Type 1,25-39,"",Female,"",4,"",6
77968,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",1,"",3
77969,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",2,"",11
77970,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",3,"",28
77971,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",4,"",1
77972,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",5,"",1
77973,202212,S92000003,S08000028,Type 1,25-39,"",Male,"",,:,2
77974,202212,S92000003,S08000028,Type 1,40-64,"",Female,"",1,"",3
77975,202212,S92000003,S08000028,Type 1,40-64,"",Female,"",2,"",23
77976,202212,S92000003,S08000028,Type 1,40-64,"",Female,"",3,"",40
77977,202212,S92000003,S08000028,Type 1,40-64,"",Female,"",4,"",9
77978,202212,S92000003,S08000028,Type 1,40-64,"",Male,"",2,"",16
77979,202212,S92000003,S08000028,Type 1,40-64,"",Male,"",3,"",37
77980,202212,S92000003,S08000028,Type 1,40-64,"",Male,"",4,"",7
77981,202212,S92000003,S08000028,Type 1,40-64,"",Male,"",5,"",1
77982,202212,S92000003,S08000028,Type 1,65-74,"",Female,"",2,"",7
77983,202212,S92000003,S08000028,Type 1,65-74,"",Female,"",3,"",13
77984,202212,S92000003,S08000028,Type 1,65-74,"",Female,"",4,"",2
77985,202212,S92000003,S08000028,Type 1,65-74,"",Female,"",,:,1
77986,202212,S92000003,S08000028,Type 1,65-74,"",Male,"",2,"",18
77987,202212,S92000003,S08000028,Type 1,65-74,"",Male,"",3,"",20
77988,202212,S92000003,S08000028,Type 1,65-74,"",Male,"",4,"",4
77989,202212,S92000003,S08000028,Type 1,75 plus,"",Female,"",2,"",19
77990,202212,S92000003,S08000028,Type 1,75 plus,"",Female,"",3,"",33
77991,202212,S92000003,S08000028,Type 1,75 plus,"",Female,"",4,"",1
77992,202212,S92000003,S08000028,Type 1,75 plus,"",Male,"",2,"",10
77993,202212,S92000003,S08000028,Type 1,75 plus,"",Male,"",3,"",39
77994,202212,S92000003,S08000028,Type 1,75 plus,"",Male,"",4,"",3
77995,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",1,"",1
77996,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",2,"",11
77997,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",3,"",47
77998,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",4,"",3
77999,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",5,"",2
78000,202212,S92000003,S08000028,Type 1,Under 18,"",Female,"",,:,4
78001,202212,S92000003,S08000028,Type 1,Under 18,"",Male,"",2,"",13
78002,202212,S92000003,S08000028,Type 1,Under 18,"",Male,"",3,"",36
78003,202212,S92000003,S08000028,Type 1,Under 18,"",Male,"",4,"",3
78004,202212,S92000003,S08000028,Type 1,Under 18,"",Male,"",5,"",2
78005,202212,S92000003,S08000028,Type 1,Under 18,"",Male,"",,:,3
78006,202212,S92000003,S08000028,Type 1,"",:,"",:,,:,10
78007,202212,S92000003,S08000028,Type 3,18-24,"",Female,"",3,"",3
78008,202212,S92000003,S08000028,Type 3,18-24,"",Female,"",5,"",1
78009,202212,S92000003,S08000028,Type 3,18-24,"",Male,"",2,"",3
78010,202212,S92000003,S08000028,Type 3,18-24,"",Male,"",3,"",5
78011,202212,S92000003,S08000028,Type 3,18-24,"",Male,"",4,"",1
78012,202212,S92000003,S08000028,Type 3,25-39,"",Female,"",2,"",5
78013,202212,S92000003,S08000028,Type 3,25-39,"",Female,"",3,"",4
78014,202212,S92000003,S08000028,Type 3,25-39,"",Female,"",4,"",1
78015,202212,S92000003,S08000028,Type 3,25-39,"",Male,"",1,"",1
78016,202212,S92000003,S08000028,Type 3,25-39,"",Male,"",2,"",5
78017,202212,S92000003,S08000028,Type 3,25-39,"",Male,"",3,"",6
78018,202212,S92000003,S08000028,Type 3,25-39,"",Male,"",4,"",1
78019,202212,S92000003,S08000028,Type 3,25-39,"",Male,"",5,"",1
78020,202212,S92000003,S08000028,Type 3,40-64,"",Female,"",2,"",5
78021,202212,S92000003,S08000028,Type 3,40-64,"",Female,"",3,"",15
78022,202212,S92000003,S08000028,Type 3,40-64,"",Male,"",1,"",2
78023,202212,S92000003,S08000028,Type 3,40-64,"",Male,"",2,"",7
