Year,MonthNum,HBT,Age,Sex,Deprivation,NumberOfAttendances,Population,Rate,log_offset,Date
2021,6,S08000017,Under 18,Female,1,50,1323,37.79289493575208,7.187657164114956,2021-06-01
2021,6,S08000017,Under 18,Female,2,155,3454,44.87550665894615,8.147288258706624,2021-06-01
2021,6,S08000017,Under 18,Female,3,124,4471,27.73428763140237,8.405367376233981,2021-06-01
2021,6,S08000017,Under 18,Female,4,63,1870,33.68983957219251,7.533693709848633,2021-06-01
2021,6,S08000017,Under 18,Female,5,24,1226,19.57585644371941,7.111512116496157,2021-06-01
2021,6,S08000017,Under 18,Male,1,77,1402,54.92154065620542,7.2456550675945355,2021-06-01
2021,6,S08000017,Under 18,Male,2,153,3640,42.032967032967036,8.199738960630786,2021-06-01
2021,6,S08000017,Under 18,Male,3,142,4652,30.524505588993982,8.445052513638554,2021-06-01
2021,6,S08000017,Under 18,Male,4,51,1940,26.288659793814432,7.570443252057374,2021-06-01
2021,6,S08000017,Under 18,Male,5,48,1307,36.725325172149965,7.175489713624222,2021-06-01
2021,6,S08000019,18-24,Female,1,69,2331,29.6010296010296,7.754052639035757,2021-06-01
2021,6,S08000019,18-24,Female,2,71,2462,28.838342810722988,7.808729306744399,2021-06-01
2021,6,S08000019,18-24,Female,3,57,2296,24.825783972125436,7.738923757439457,2021-06-01
2021,6,S08000019,18-24,Female,4,48,2378,20.185029436501264,7.774015077250727,2021-06-01
2021,6,S08000019,18-24,Female,5,27,3107,8.690054715159318,8.041412909393047,2021-06-01
2021,6,S08000019,18-24,Male,1,76,2307,32.9432162982228,7.7437032581737535,2021-06-01
2021,6,S08000019,18-24,Male,2,100,2516,39.7456279809221,7.830425617820331,2021-06-01
2021,6,S08000019,18-24,Male,3,48,2303,20.842379504993485,7.741967899820685,2021-06-01
2021,6,S08000019,18-24,Male,4,41,2603,15.751056473300038,7.864419904994565,2021-06-01
2021,6,S08000019,18-24,Male,5,57,2823,20.191285866099893,7.945555428253489,2021-06-01
2021,6,S08000019,25-39,Female,1,145,5630,25.75488454706927,8.635864721133736,2021-06-01
2021,6,S08000019,25-39,Female,2,186,5863,31.72437318778782,8.676416696964216,2021-06-01
2021,6,S08000019,25-39,Female,3,105,5866,17.899761336515514,8.676928249537397,2021-06-01
2021,6,S08000019,25-39,Female,4,71,4947,14.352132605619566,8.506536611227709,2021-06-01
2021,6,S08000019,25-39,Female,5,74,5165,14.327202323330106,8.549660381553739,2021-06-01
2021,6,S08000019,25-39,Male,1,204,5071,40.22875172549793,8.531293315795018,2021-06-01
2021,6,S08000019,25-39,Male,2,182,5387,33.785038054575836,8.591743922680534,2021-06-01
2021,6,S08000019,25-39,Male,3,100,5474,18.268176835951774,8.607764889600624,2021-06-01
2021,6,S08000019,25-39,Male,4,79,4913,16.079788316710765,8.499640032168648,2021-06-01
2021,6,S08000019,25-39,Male,5,92,4739,19.41337834986284,8.463581421967588,2021-06-01
2021,6,S08000019,40-64,Female,1,206,8674,23.749135347014064,9.068085324395312,2021-06-01
2021,6,S08000019,40-64,Female,2,233,10743,21.688541375779575,9.282009658666542,2021-06-01
2021,6,S08000019,40-64,Female,3,158,11478,13.765464366614394,9.348187438668308,2021-06-01
2021,6,S08000019,40-64,Female,4,184,11462,16.053044843831792,9.346792495111682,2021-06-01
2021,6,S08000019,40-64,Female,5,139,12198,11.395310706673225,9.409027282856401,2021-06-01
2021,6,S08000019,40-64,Male,1,221,8017,27.56642135462143,8.989319566042951,2021-06-01
2021,6,S08000019,40-64,Male,2,281,9971,28.181727008324142,9.207436158828793,2021-06-01
2021,6,S08000019,40-64,Male,3,157,10902,14.401027334434048,9.296701537624227,2021-06-01
2021,6,S08000019,40-64,Male,4,192,11026,17.413386540903318,9.30801139914963,2021-06-01
2021,6,S08000019,40-64,Male,5,139,11504,12.082753824756606,9.350450079960828,2021-06-01
2021,6,S08000019,65-74,Female,1,57,2586,22.041763341067284,7.857867559331803,2021-06-01
2021,6,S08000019,65-74,Female,2,89,3448,25.812064965197216,8.145549631783584,2021-06-01
2021,6,S08000019,65-74,Female,3,58,3855,15.045395590142672,8.25712628599743,2021-06-01
2021,6,S08000019,65-74,Female,4,51,3961,12.875536480686696,8.284251797621916,2021-06-01
2021,6,S08000019,65-74,Female,5,62,3941,15.732047703628519,8.279189777195004,2021-06-01
2021,6,S08000019,65-74,Male,1,54,2376,22.727272727272727,7.773173680482536,2021-06-01
2021,6,S08000019,65-74,Male,2,103,3121,33.002242870874724,8.045908742270779,2021-06-01
2021,6,S08000019,65-74,Male,3,64,3367,19.008019008019005,8.121777419161074,2021-06-01
2021,6,S08000019,65-74,Male,4,56,3684,15.20086862106406,8.211754397375197,2021-06-01
2021,6,S08000019,65-74,Male,5,56,3554,15.756893640967922,8.175829008714597,2021-06-01
2021,6,S08000019,75 plus,Female,1,84,2211,37.99185888738128,7.701200180857446,2021-06-01
2021,6,S08000019,75 plus,Female,2,116,3232,35.89108910891089,8.080856419640986,2021-06-01
2021,6,S08000019,75 plus,Female,3,105,3134,33.503509891512444,8.050065422915965,2021-06-01
2021,6,S08000019,75 plus,Female,4,100,3397,29.43773918163085,8.130647968160584,2021-06-01
2021,6,S08000019,75 plus,Female,5,85,3229,26.323939300092906,8.079927770758275,2021-06-01
2021,6,S08000019,75 plus,Male,1,54,1503,35.92814371257485,7.315218389752975,2021-06-01
2021,6,S08000019,75 plus,Male,2,96,2216,43.32129963898917,7.703459047867175,2021-06-01
2021,6,S08000019,75 plus,Male,3,61,2322,26.270456503014643,7.7501841622578365,2021-06-01
2021,6,S08000019,75 plus,Male,4,86,2526,34.045922406967534,7.8343923029104365,2021-06-01
2021,6,S08000019,75 plus,Male,5,74,2602,28.43966179861645,7.86403565907245,2021-06-01
2021,6,S08000019,Under 18,Female,1,163,5106,31.923227575401487,8.53817159780143,2021-06-01
2021,6,S08000019,Under 18,Female,2,213,5431,39.21929663045479,8.599878558034845,2021-06-01
2021,6,S08000019,Under 18,Female,3,117,5601,20.88912694161757,8.630700432209832,2021-06-01
2021,6,S08000019,Under 18,Female,4,111,5557,19.974806550296925,8.622813673279921,2021-06-01
2021,6,S08000019,Under 18,Female,5,125,6163,20.282330034074313,8.726318950962243,2021-06-01
2021,6,S08000019,Under 18,Male,1,195,5503,35.435217154279485,8.613048677059759,2021-06-01
2021,6,S08000019,Under 18,Male,2,251,5698,44.050544050544055,8.647870515057853,2021-06-01
2021,6,S08000019,Under 18,Male,3,159,5954,26.704736311723213,8.691818541575723,2021-06-01
2021,6,S08000019,Under 18,Male,4,190,5858,32.434277910549675,8.675563527387679,2021-06-01
2021,6,S08000019,Under 18,Male,5,196,6538,29.97858672376874,8.785386587284156,2021-06-01
2021,6,S08000020,18-24,Female,1,13,1529,8.502289077828646,7.332369205929062,2021-06-01
2021,6,S08000020,18-24,Female,2,92,4484,20.517395182872438,8.40827078419205,2021-06-01
2021,6,S08000020,18-24,Female,3,84,5516,15.228426395939087,8.615408238913192,2021-06-01
2021,6,S08000020,18-24,Female,4,99,6193,15.985790408525755,8.731174900938061,2021-06-01
2021,6,S08000020,18-24,Female,5,82,6316,12.982900569981,8.750841375375533,2021-06-01
2021,6,S08000020,18-24,Male,1,19,1313,14.47067783701447,7.180069874302796,2021-06-01
2021,6,S08000020,18-24,Male,2,70,4204,16.65080875356803,8.343791731996841,2021-06-01
2021,6,S08000020,18-24,Male,3,71,5474,12.970405553525758,8.607764889600624,2021-06-01
2021,6,S08000020,18-24,Male,4,95,6633,14.322327755163577,8.799812469525556,2021-06-01
2021,6,S08000020,18-24,Male,5,109,6169,17.66899011184957,8.72729202920964,2021-06-01
2021,6,S08000020,25-39,Female,1,52,3602,14.436424208772904,8.189244525735901,2021-06-01
2021,6,S08000020,25-39,Female,2,129,9521,13.54899695410146,9.161255164285691,2021-06-01
2021,6,S08000020,25-39,Female,3,141,11625,12.129032258064516,9.360913230455557,2021-06-01
2021,6,S08000020,25-39,Female,4,147,16392,8.96778916544656,9.704548689918736,2021-06-01
2021,6,S08000020,25-39,Female,5,143,15055,9.498505479907008,9.619465440915834,2021-06-01
2021,6,S08000020,25-39,Male,1,58,3658,15.855658829961726,8.204671828950811,2021-06-01
2021,6,S08000020,25-39,Male,2,159,9072,17.526455026455025,9.112948025967533,2021-06-01
2021,6,S08000020,25-39,Male,3,132,11270,11.712511091393079,9.329899607033822,2021-06-01
2021,6,S08000020,25-39,Male,4,172,15568,11.04830421377184,9.652972804425787,2021-06-01
2021,6,S08000020,25-39,Male,5,138,14933,9.241277707091676,9.61132880805727,2021-06-01
2021,6,S08000020,40-64,Female,1,71,5248,13.528963414634147,8.565602330623925,2021-06-01
2021,6,S08000020,40-64,Female,2,201,13916,14.4438056912906,9.540794536271832,2021-06-01
2021,6,S08000020,40-64,Female,3,182,20293,8.968609865470851,9.918031277976969,2021-06-01
2021,6,S08000020,40-64,Female,4,267,30565,8.735481760183216,10.327610842462827,2021-06-01
2021,6,S08000020,40-64,Female,5,234,29226,8.006569492917265,10.282814003034598,2021-06-01
2021,6,S08000020,40-64,Male,1,100,5270,18.975332068311193,8.569785641535407,2021-06-01
2021,6,S08000020,40-64,Male,2,203,13406,15.142473519319706,9.503457646917903,2021-06-01
2021,6,S08000020,40-64,Male,3,214,19640,10.896130346232178,9.885323581908457,2021-06-01
2021,6,S08000020,40-64,Male,4,318,29532,10.767980495733442,10.293229700179056,2021-06-01
